ID,Meal Name,Meal Time,Diet,Ingredients ,Website ,Calories 
30,Tofu Ceasar Wraps,Lunch,vegan,"vegan mayonnaise, nutritional yeast, lemon juice, dijon mustard, caper or pickle brine, garlic powder, tortillas, tofu bites, romaine lettuce, tomato",https://itdoesnttastelikechicken.com/vegan-tofu-caesar-wraps/,381
31,Vegan Steak Sandwich,Lunch,vegan,"vegan butter, yellow onion, red bell pepper, garlic cloves, vegan seitan steak, steak marinade, vegan cheese, bun",https://itdoesnttastelikechicken.com/vegan-steak-sandwich/,506
32,Vegan ALphagettie,Lunch,vegan,"olive oil, yellow onion, garlic cloves, crushed tomatoes, vegetable broth, white sugar, salt, black pepper, alphabet pasta",https://itdoesnttastelikechicken.com/vegan-alphagetti/,400
33,Vegan Lentil Stew,Lunch,vegan,"olive oil, medium carrots, celery, yellow onion, garlic, all-purpose flour, vegan broth, potatoes, brown lentils, red wine, tomato paste, balsamic vinegar, brown sugar, bay leaf, dried thyme leaves, salt, black pepper, peas, fresh parsley",https://itdoesnttastelikechicken.com/hearty-vegan-lentil-stew/,597
34,Vegan Zuppa Toscana,Lunch,vegan,"nutritional yeast, soy sauce, olive oil, smoked paprika, garlic powder, tofu, olive oil, yellow onion, garlic cloves, vegetable broth, water, russet potatoes, kale, thick plant based cream or milk, salt, black pepper",https://itdoesnttastelikechicken.com/vegan-zuppa-toscana/,520
35,Vegan Irish Stew,Lunch,vegan,"olive oil, celery, yellow onion, garlic, all-purpose flour, vegetable broth, all-purpose flour, vegetable broth, vegan stout beer, carrots, parsnips, 8 oz mushrooms, baby potatoes, tomato paste, bay leaves, brown sugar, thyme leaves, salt, ground pepper",https://itdoesnttastelikechicken.com/vegan-irish-stew/,466
36,Smoky Spicy Chickpea Stew,Lunch,vegan,"olive oil, yellow onion, garlic, tomato, smoked paprika, chili flakes, thyme leaves, brown or white sugar, salt, chickpeas, kale, spinach, cooked rice, quinoa, or couscous",https://itdoesnttastelikechicken.com/smoky-spicy-chickpeas-stew/,514
37,Vegan Lasahna Soup,Lunch,vegan,"nutrional yeast, soy sauce, olive oil, chili powder, garlic powder, liquid smoke, extra firm tofu,yellow onion, garlic, vegetable broth, canned crushed tomatoes, dried oregano, basil, lasagna noodles, vegan mozzarella, vegan parmesan, fresh basil leaves ",https://itdoesnttastelikechicken.com/the-best-vegan-lasagna-soup/,626
38,Vegan Greek Salad,Lunch,vegan ,"dressing: olive oil, red wine vinegar, garlic, dried oregano, dijon mustard, salt, black pepper... salad: cucumber, bell pepper, grape tomatoes, vegan feta, pitted kalamata olices, red onion ",https://itdoesnttastelikechicken.com/the-best-vegan-greek-salad/,500
39,Vegan Vig Mac Salad,Lunch,vegan,"tofu, olive oil, yellow onion, garlic, nutritional yeast, soy sauce, smoked paprika, vegetable broth, vegan mayonnaise, sweet pickle relish, dijon mustard, white vinegar, paprika, garlic powder, onion powder, plant-based-milk, lettuce, vegan cheese, dill pickles, red onion",https://itdoesnttastelikechicken.com/vegan-big-mac-salad/,613
40,Vegan Egg Roll in a Bowl,Lunch,vegan,"soy sauce, plum sauce or sweet and sour sauce, rice vinegar, cornstarch, sesame oil, yellow onion, garlic, ginger, tofu, cabbage, carrot, green onions, roasted salted peanuts, cooked rice or rice noodles ",https://itdoesnttastelikechicken.com/vegan-egg-roll-in-a-bowl/,400
41,Creamy Dill Pickle Salad,Lunch,vegan,"raw cashews, water, nutritional yeast, dill pickle, dill pickle juice, fresh dill, onion powder, garlic powder, salt, black pepper, mixed greens, white beans, cherry or grape tomatoes, cucumber, red onion, dill pickle, pepper flakes",https://itdoesnttastelikechicken.com/vegan-creamy-dill-pickle-salad-gardyn-review/,488
42,Vegan Truffle Mac and Cheese,Lunch,vegan,"water, raw cashews, nutritional yeast, cornstarch, white miso paste, truffle olive oil, salt, garlic powder, black pepper, pasta ",https://itdoesnttastelikechicken.com/vegan-truffle-mac-and-cheese/,500
43,Fast and Easy Vegan Carbonara ,Dinner,vegan ,"pasta, olive oil, yellow onion, garlic, all-purpose flour plant-based-milk, nutritional yeast, salt, pepper",https://itdoesnttastelikechicken.com/fast-and-easy-vegan-carbonara/,600
44,Vegan Hamburger Helper,Dinner,vegan,"nutritional yeast, soy sauce, olive oil, tofu, olive oil, yellow onion, garlic cloves, vegetable broth, plant-based milk, nutritional yeast, ketchup, paprika, salt, cavatappi pasta, cornstarch",https://itdoesnttastelikechicken.com/the-best-vegan-hamburger-helper/,746
45,Skillet Lasagna,Dinner,vegan,"olive oil, lentils, brown onion, minced garlic, diced tomatoes, vegan beeg-style stock, water, italian herb mix, lasagna sheets, vegan cheese, cashews, water, nutrional yeast, salt, parsley, basil",https://www.vegkit.com/recipes/vegan-main-meals/easy-skillet-lasagne/,1000
46,Asparagus & Pea Risotto,Dinner,vegan,"vegetable stock, olive oil, vegan butter, onion, risotto rice, asparagus, peas, nutritional yeast, chives, lemon juice, salt, pepper",https://www.vegkit.com/recipes/vegan-main-meals/asparagus-pea-risotto/,600
47,Thai Pineapple Fried Rice,Dinner,vegan,"olive oil, brown onion, rice, carrot, forzen peas, red capsicum, pineapple, cabbage, spring onions, soy sauce, vegan fysh sauce, chilli, maple syrup, white pepper, thai curry powder, cashews, sprouts, fresh chilli, corriander",https://www.vegkit.com/recipes/vegan-main-meals/thai-pineapple-fried-rice/,500
48,Mushroom & Pea Orzo,Dinner,vegan,"orzo pasta, olive oil, shallots, garlic cloves, button mushrooms, thyme leaves, fresh peas, miso paste, vegetable stock, white wine, spring onions, parsley, nutritional yeast, salt, black pepper",https://www.vegkit.com/recipes/vegan-main-meals/mushroom-and-pea-orzo/,435
49,Vegan Spanakopita,Dinner,vegan,"tofu, lemon juice, salt, olive oil, leek or onion, spinach or silverbeet,  plain vegan yoghurt, nutritional yeast, aquafaba, spring onions, dill, lemon zest, black pepper, filo sheets, brushing pastry ",https://www.vegkit.com/recipes/vegan-main-meals/vegan-spanakopita-spinach-pie/,500
50,Vegan Spaghetti Bolognese,Dinner,vegan,"textured vegetable protein, olive oil, garlic, carrot, red onion, celery, swiss brown mushrooms, soy sauce, passata, vegan red wine, vegetable stock, dried oregano, dried basil, smoked paprika, salt, spaghetti, nutritional yeast, black pepper, vegan cheese, basil ",https://www.vegkit.com/recipes/vegan-main-meals/spaghetti-bolognese/,600
51,One Tray Dinner Bake,Dinner,vegan,"tamari or soy sauce, garlic, cumin, olive oil, toasted sesame oil, chili powder, salt, brussel sprouts, sweet potato, green beans, tofu, chickpeas, nut butter, tamari, soy sauch, maple syrup, lime juice, ginger, cumin ",https://www.vegkit.com/recipes/vegan-main-meals/one-tray-dinner-bake/,488
52,Upside Down Puff Pastry Pizza,Dinner,vegan,"red onion, eggplant, kalmata olives, chili flakes, dried oregano, olive oil, red peppers, vegan puff pastry, salt, baby spinach, basil, garlic, almonds, nutritional yeast, lemon juice, olive oil, salt, basil leaves, vegan feta cheese ",https://www.vegkit.com/recipes/vegan-main-meals/upside-down-puff-pastry-pizza/,425
53,Mediterranean Bowl,Dinner,vegan,"quinoa, pomegranit, parsley, mint, spring onions, sunflower seeds, pumpkin seeds, olive oil, lemon juice, sumac, salt, cucumber, kalamata olives, cherry tomatoes, hummus, tahini, lemon juice, salt, water",https://www.vegkit.com/recipes/vegan-main-meals/mediterranean-bowl/,488
54,Pulled Mushroom Tacos,Dinner,vegan,"oyster mushrooms, oil, garlic, smoked paprika, onion powder, cayenne pepper, maple syrup, yellow mustard, salt, soft or hard tacos, avocado, red cavvage, coriander, vegan sour cream, gresh corn, pickled red onion, fresh limes, barbeque sauce ",https://www.vegkit.com/recipes/vegan-main-meals/pulled-mushroom-tacos/,430
55,Nanna'S Lasagne,Dinner,vegan,"carrot, celery stalks, brown onion, olive oil, italian herbs, basil leaves, began burger patties, red wine, bottle passata, tomatoes, salt and pepper, lasagne sheets, vegan eggs, vegan parmesan, vegan mozzarella",https://www.vegkit.com/recipes/vegan-main-meals/nannas-lasagne/,380
56,Zucchini Quesadilla Melt,Dinner,vegan,"olive oil, zucchini, red onion, garlic clove, red chilli, sundried tomatoes, cornichons, capers, vegan mayo, smoked paprika, vegan cheese, salt and papper, flatbreads",https://www.vegkit.com/recipes/vegan-main-meals/freshly-picked-zucchini-quesadilla-melt/,700
57,Grilled Mushroom and Scallion Pasta,Dinner,vegan,"mezzi rigatoni, cremini mushrooms, scallions, olive oil, salt and pepper, lemon, garlic clove, nutritional yeast ",https://www.goodhousekeeping.com/food-recipes/a61899422/grilled-mushroom-and-scallion-pasta-recipe/,442
58,Sticky Tofu Bowl,Dinner,vegan,"rice, tofu, oil, Chinese five-spice powder, salt, cucumber, rice vinegar, shiitake mushrooms, soy sauce, brown sugar, chili garlic sauce, scallions, sesame seeds, cilantro ",https://www.goodhousekeeping.com/food-recipes/healthy/a39427828/tofu-bowl-recipe/,445
59,Green Soup with Crispy Tofu,Dinner,vegan,"tofu, olive oil, gochugaru, salt, scallions, ginger, jalapeno, broccoli, garlic cloves, coconut milk, vegetable boiillon base, baby spinach, cilantro leaves ",https://www.goodhousekeeping.com/food-recipes/a42356281/green-soup-with-crispy-tofu-recipe/,379
60,One-Pot Spaghetti,Dinner,vegan,"lemon, spaghetti, garlic cloves, red onion, dry white wine, olive oil, salt and pepper, cherry or grape tomatoes, parsley leaves, basil leaves, vegan parmesan",https://www.goodhousekeeping.com/food-recipes/a38750361/one-pot-spaghetti-recipe/,430
61,Tahini-Lemon Quinoa with Asparagus Ribbons,Dinner,vegan,"chickpeas, lemon juice, lemon zest, salt and pepper, quinoa, tahini, lime juice, honey or agave, fresh mint leaves, asparagus, shelled pistachios",https://www.goodhousekeeping.com/food-recipes/healthy/a19866004/tahini-lemon-quinoa-with-asparagus-ribbons-recipe/,525
62,Tofu Pad Thai,Dinner,vegan,"tofu, cornstarch, rice noodles, soy sauce, brown sugar, chili sauce, lime juice, garlic clove, oil, red pepper, mung bean sprouts, scallions, chopped peanuts",https://www.goodhousekeeping.com/food-recipes/easy/a48188/tofu-pad-thai-recipe/,440
